,trend,trend_squared,trend_cubed,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_13,lag_14,lag_15,lag_17,lag_19,lag_20,lag_22,lag_24,lag_26,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-01-01,731.0,534361.0,390617891.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.857194387,8.963144387,5.41660272,8.36860272,6.88060272,12.116127382,16.46715272,18.711236058,17.511236058,8.881094387000001,8.881094387000001,6.53260272,8.09260272,9.645194387,11.59105272,5.40460272,6.83260272,9.657194387,9.867061005142858,10.946238708214285,9.881066348733334,3.683020247194455,5.41660272,16.46715272,51,7.7,2.0,-1.0,32.8,61.6,219,2.87,1.0,0.0,0.0,29057.6,11914.18,1.0,1.2,0.6,1.2,0.0,0.6,5.0,5.5,0,0
2024-01-02,732.0,535824.0,392223168.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01716632975470737,0.9998526477050269,0.034327600513243496,0.9994106342455052,0.05147875477034653,0.9986740898848305,0.06861473800213404,0.9976432316860063,0.08573050015569435,0.9963183634476755,0.1028209971373604,0.9946998756145891,9.657194387,10.857194387,8.963144387,5.41660272,8.36860272,6.88060272,12.116127382,16.46715272,6.85660272,17.511236058,8.881094387000001,8.581094387,5.45260272,8.09260272,8.881094387000001,12.890905849,8.06860272,15.593262949,8.894209814714285,11.0016744225,9.916936348733334,2.282016145477607,5.41660272,12.116127382,63,10.5,5.2,0.1,41.9,80.6,211,0.41,0.57,0.0,0.0,29124.9,0.0,0.25,1.2,29.4,0.2,0.0,29.4,24.0,6.6,0,0
2024-01-03,733.0,537289.0,393832837.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.034327600513243496,0.9994106342455052,0.06861473800213404,0.9976432316860063,0.1028209971373604,0.9946998756145891,0.13690605792347524,0.990584035457797,0.17082974322534417,0.985300562686109,0.2045520661262008,0.9788556850953578,18.711236058,9.657194387,10.857194387,8.963144387,5.41660272,8.36860272,6.88060272,12.116127382,9.585194387,6.85660272,17.511236058,8.881094387000001,6.53260272,5.45260272,9.645194387,11.59105272,5.40460272,6.83260272,9.836368197,11.087388708214286,10.257342737766665,4.301650858665002,5.41660272,18.711236058,61,9.9,4.7,1.6,38.4,66.6,233,2.05,0.6,0.0,0.0,29197.79,10642.9,0.65,1.25,10.3,2.3,0.0,10.3,20.0,7.1,0,0
2024-01-04,734.0,538756.0,395446904.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05147875477034654,0.9986740898848305,0.10282099713736041,0.9946998756145891,0.1538905767040618,0.9880878960910772,0.20455206612620083,0.9788556850953578,0.25467112024122873,0.9670277247913204,0.3041148323275179,0.9526353808033825,8.09260272,18.711236058,9.657194387,10.857194387,8.963144387,5.41660272,8.36860272,6.88060272,11.765398549,9.585194387,6.85660272,8.881094387000001,8.581094387,6.53260272,8.09260272,8.881094387000001,12.890905849,8.06860272,10.009511054142857,11.175674422499998,10.205189682199999,4.1856803509110065,5.41660272,18.711236058,55,8.1,3.5,1.5,31.7,57.2,238,3.64,0.56,0.0,0.0,29276.11,21600.0,0.75,1.2,7.1,1.6,0.0,7.1,18.0,6.4,0,0
2024-01-05,735.0,540225.0,397065375.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06861473800213404,0.9976432316860063,0.13690605792347524,0.990584035457797,0.2045520661262008,0.9788556850953578,0.27123391067291003,0.9625134626077081,0.33663728424691025,0.9416343976591259,0.40045390565126643,0.9163169044870048,8.33260272,8.09260272,18.711236058,9.657194387,10.857194387,8.963144387,5.41660272,8.36860272,10.86715272,11.765398549,9.585194387,17.511236058,8.881094387000001,8.581094387,5.45260272,9.645194387,11.59105272,5.40460272,10.004368197000002,11.086203589142858,9.963167674566668,4.188053968476211,5.41660272,18.711236058,53,8.3,3.5,-0.5,36.8,68.4,217,2.25,0.82,0.0,0.0,29359.71,13533.0,0.55,1.2,1.7,0.0,0.0,1.7,8.0,5.3,0,0
2024-01-06,736.0,541696.0,398688256.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08573050015569435,0.9963183634476755,0.17082974322534417,0.985300562686109,0.25467112024122873,0.9670277247913204,0.33663728424691025,0.9416343976591259,0.41612469599147445,0.9093075592922358,0.4925480679538644,0.8702852410301553,6.60460272,8.33260272,8.09260272,18.711236058,9.657194387,10.857194387,8.963144387,5.41660272,18.711236058,10.86715272,11.765398549,6.85660272,8.881094387000001,8.881094387000001,6.53260272,8.09260272,8.881094387000001,12.890905849,10.174082482714285,10.717575315642858,9.955567674566668,3.990571573773099,6.60460272,18.711236058,53,5.6,2.1,-2.1,16.4,34.2,319,0.95,0.19,0.0,0.0,29448.46,0.0,0.3,1.15,3.3,0.0,0.0,3.3,19.0,1.5,1,0
2024-01-07,737.0,543169.0,400315553.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10282099713736041,0.9946998756145891,0.20455206612620083,0.9788556850953578,0.3041148323275179,0.9526353808033825,0.4004539056512665,0.9163169044870048,0.4925480679538644,0.8702852410301553,0.5794210982045638,0.8150283375168114,14.074600549,6.60460272,8.33260272,8.09260272,18.711236058,9.657194387,10.857194387,8.963144387,16.46715272,18.711236058,10.86715272,9.585194387,17.511236058,8.881094387000001,8.581094387,5.45260272,9.645194387,11.59105272,10.904290505857144,10.946678732,10.155767602200001,4.194504593845956,6.60460272,18.711236058,71,1.5,-2.2,-9.1,24.1,46.1,27,1.0,0.32,0.0,0.0,29542.21,0.0,0.5,1.2,0.5,0.0,0.28,0.9,7.0,-3.2,1,0
2024-01-08,738.0,544644.0,401947272.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11988119229922722,0.99278824516254,0.2380332770614856,0.9712569994658314,0.3527520865490948,0.9357168190404936,0.4623829729035149,0.88668031802274,0.5653446739747429,0.8248547748594244,0.6601521206712317,0.7511319308705199,12.36715272,14.074600549,6.60460272,8.33260272,8.09260272,18.711236058,9.657194387,10.857194387,12.116127382,16.46715272,18.711236058,11.765398549,6.85660272,17.511236058,8.881094387000001,6.53260272,8.09260272,8.881094387000001,11.119998839142857,10.493529922142859,10.3878526022,4.230351639138724,6.60460272,18.711236058,3,-2.2,-8.5,-10.7,23.6,45.4,41,2.16,0.68,0.0,0.0,29640.79,3793.56,1.1,1.25,0.0,0.0,0.0,0.0,0.0,-5.2,0,0
2024-01-09,739.0,546121.0,403583419.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13690605792347524,0.990584035457797,0.27123391067291003,0.9625134626077081,0.40045390565126643,0.9163169044870048,0.5221325810768248,0.8528643314021597,0.6339784927628866,0.7733506777097299,0.733885366432199,0.6792733388972931,10.463144387,12.36715272,14.074600549,6.60460272,8.33260272,8.09260272,18.711236058,9.657194387,6.88060272,12.116127382,16.46715272,10.86715272,9.585194387,6.85660272,8.881094387000001,8.581094387,5.45260272,9.645194387,11.235134553428571,10.064672184071428,10.306927220133334,4.194721230740379,6.60460272,18.711236058,0,-1.2,-7.6,-11.8,20.3,40.0,41,5.16,0.98,0.0,0.0,29744.07,24797.09,1.35,1.35,0.0,0.0,0.0,0.0,0.0,-6.1,0,0
2024-01-10,740.0,547600.0,405224000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15389057670406178,0.9880878960910772,0.30411483232751785,0.9526353808033825,0.44709379298511387,0.8944870822287956,0.5794210982045637,0.8150283375168114,0.6979441547663435,0.7161521883143933,0.7998392447397193,0.6002142805483683,10.081094387,10.463144387,12.36715272,14.074600549,6.60460272,8.33260272,8.09260272,18.711236058,8.36860272,6.88060272,12.116127382,18.711236058,11.765398549,9.585194387,17.511236058,8.881094387000001,6.53260272,8.09260272,10.002257171857142,9.919312684428572,10.2565952757,2.594029226091049,6.60460272,14.074600549,3,-0.2,-4.5,-11.9,9.7,21.6,46,3.94,0.62,0.0,0.0,29851.89,21213.57,1.15,1.35,0.0,0.0,0.0,0.0,0.0,-6.9,0,0
