cpd_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
Binseg,42,4,25,13,0
BottomUp,42,9,7,26,0
CUSUM,42,0,0,42,0
EWMA,42,0,0,42,0
KernelCPD,42,1,26,15,0
Pelt,42,4,24,14,0
TwoSample,42,0,0,42,0
Window,42,1,25,16,0
cpm1B,42,0,0,42,0
cpm1S,42,0,0,42,0
cpmMS,42,0,0,42,0
sbs,42,0,0,42,0
wbs,42,0,0,42,0
