Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/10  10:00:00,9600325.11780272,9600325.117802719,2295796.7354481374 
 01/10  11:00:00,9543002.640060414,9543002.640060414,208665.3499203951 
 01/10  12:00:00,8564200.931114152,8564200.93111415,0.0 
 01/10  13:00:00,8487598.454878805,8487598.454878805,0.0 
 01/10  14:00:00,7420106.998447847,7420106.998447847,0.0 
 01/10  15:00:00,7358883.690182282,7358883.69018228,0.0 
 01/10  16:00:00,7605688.785947337,7605688.785947336,0.0 
 01/10  17:00:00,9860173.395093454,9860173.395093452,0.0 
 01/10  18:00:00,17312339.86279219,17312339.86279219,0.0 
 01/10  19:00:00,17620210.423760496,17620210.423760492,0.0 
 01/10  20:00:00,17469756.556577273,17469756.55657727,0.0 
 01/10  21:00:00,17316656.418675836,17316656.418675832,1173929.9026795044 
 01/10  22:00:00,15862831.200783392,15862831.200783389,2414972.204629303 
 01/10  23:00:00,14963343.943070468,14963343.943070468,3791039.6995113217 
 01/10  24:00:00,12339669.576431947,12339669.576431945,4978454.056582775 
 01/11  01:00:00,10846728.245240424,10846728.245240424,6623989.530027121 
 01/11  02:00:00,9834348.234408775,9834348.234408773,7368546.2673956705 
 01/11  03:00:00,10656210.451855633,10656210.451855633,8124485.547822051 
 01/11  04:00:00,9771408.681864586,9771408.681864586,8738708.020533457 
 01/11  05:00:00,9857716.746678606,9857716.746678606,7706702.109775167 
 01/11  06:00:00,12107316.964284588,12107316.964284588,7916972.102428075 
 01/11  07:00:00,16613338.280738872,16613338.280738872,7827393.723484931 
 01/11  08:00:00,12564246.900015859,12564246.900015859,6441468.486148404 
 01/11  09:00:00,10782371.865025537,10782371.865025537,4844417.755570752 
 01/11  10:00:00,9611474.331997365,9611474.331997363,2523702.976881551 
 01/11  11:00:00,9545487.957433764,9545487.957433762,250227.34891409628 
 01/11  12:00:00,8564186.910453316,8564186.910453314,0.0 
 01/11  13:00:00,7686168.726182236,7686168.726182236,0.0 
 01/11  14:00:00,8216383.412026014,8216383.412026014,0.0 
 01/11  15:00:00,6449560.037827241,6449560.03782724,0.0 
 01/11  16:00:00,8521672.273071256,8521672.273071256,0.0 
 01/11  17:00:00,9861008.578274425,9861008.578274423,0.0 
 01/11  18:00:00,17355373.3872679,17355373.387267895,900202.0525702378 
 01/11  19:00:00,17694836.851729292,17694836.851729292,1581089.7175425142 
 01/11  20:00:00,17579271.259348705,17579271.259348705,2321008.5406396007 
 01/11  21:00:00,17408190.098547913,17408190.098547913,3116097.3566775667 
 01/11  22:00:00,15920237.278591992,15920237.278591992,3639857.8601282267 
 01/11  23:00:00,14526213.449839197,14526213.449839197,5083448.045828246 
 01/11  24:00:00,12863193.27845244,12863193.27845244,5811662.087332606 
 01/12  01:00:00,9943052.701056566,9943052.701056566,6070604.578639403 
 01/12  02:00:00,10697342.089027148,10697342.089027148,7133182.078375369 
