forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,15,6,1,8,0
HybridKNNMLP,15,2,3,10,0
HybridLRXGB,15,2,6,7,0
HybridLassoMLP,15,2,6,7,0
HybridLassoXGB,15,1,6,8,0
KNN,15,0,1,14,0
LR,15,4,7,4,0
LSVR,15,5,5,5,0
Lasso,15,0,7,8,0
MLP,15,3,6,6,0
SARIMAX,15,6,1,8,0
SGD,15,1,5,9,0
SVR,15,4,4,7,0
XGB,15,2,4,9,0
