forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,15,2,10,3,0
HybridKNNMLP,15,3,9,3,0
HybridLRXGB,15,8,7,0,0
HybridLassoMLP,15,9,6,0,0
HybridLassoXGB,15,8,7,0,0
KNN,15,8,7,0,0
LR,15,7,7,1,0
LSVR,15,0,0,15,0
Lasso,15,7,7,1,0
MLP,15,0,5,10,0
SARIMAX,15,2,10,3,0
SGD,15,5,9,1,0
SVR,15,6,5,4,0
XGB,15,9,5,1,0
