forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,15,6,5,4,0
HybridKNNMLP,15,9,5,1,0
HybridLRXGB,15,0,15,0,0
HybridLassoMLP,15,0,15,0,0
HybridLassoXGB,15,1,14,0,0
KNN,15,1,14,0,0
LR,15,2,13,0,0
LSVR,15,0,0,15,0
Lasso,15,0,15,0,0
MLP,15,0,5,10,0
SARIMAX,15,6,5,4,0
SGD,15,1,14,0,0
SVR,15,4,8,3,0
XGB,15,0,15,0,0
