forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,15,1,1,13,0
HybridKNNMLP,15,1,0,14,0
HybridLRXGB,15,0,11,4,0
HybridLassoMLP,15,0,9,6,0
HybridLassoXGB,15,0,10,5,0
KNN,15,0,12,3,0
LR,15,0,13,2,0
LSVR,15,0,0,15,0
Lasso,15,0,13,2,0
MLP,15,0,4,11,0
SARIMAX,15,1,1,13,0
SGD,15,0,12,3,0
SVR,15,1,3,11,0
XGB,15,0,12,3,0
