forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,15,1,0,14,0
HybridKNNMLP,15,1,1,13,0
HybridLRXGB,15,2,4,9,0
HybridLassoMLP,15,1,4,10,0
HybridLassoXGB,15,1,4,10,0
KNN,15,0,0,15,0
LR,15,6,4,5,0
LSVR,15,4,1,10,0
Lasso,15,1,6,8,0
MLP,15,7,2,6,0
SARIMAX,15,1,0,14,0
SGD,15,1,4,10,0
SVR,15,0,0,15,0
XGB,15,1,4,10,0
