dataset,forecast_algo,rmse,mae,mape,source_dir,selected_lags,param_trend_order,param_fourier_order,param_use_weekly,param_xgb_depth,param_xgb_n_estimators,param_xgb_lr,param_alpha,param_lasso_alpha,param_mlp_hidden,param_mlp_lr,param_hidden_layer_sizes,param_C,param_max_depth,param_n_estimators,param_learning_rate,param_eta0,param_kernel,param_n_neighbors,param_knn_neighbors
ASHRAE901_OfficeSmall_STD2019,KNN,383075910.6689372,295648693.05292547,0.9773021536422534,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,,,,,,10.0,
ASHRAE901_OfficeSmall_STD2019,LR,252866588.92088705,208035790.69308355,0.44181869535298324,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,LSVR,1078256655.7989745,1012231131.0340894,0.9989243848767245,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,1000.0,,,,,,,
ASHRAE901_OfficeSmall_STD2019,Lasso,325387957.01205045,283556072.89332634,0.47456994163827193,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,1000.0,,,,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,MLP,1079690537.024713,1013490793.6543897,0.9999928547449453,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
ASHRAE901_OfficeSmall_STD2019,SARIMAX,384743435.55005515,287689272.01663244,0.8503673579711057,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,,,,,,,
ASHRAE901_OfficeSmall_STD2019,SGD,294980286.5493199,249689359.10941154,0.44788891634291467,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,,,invscaling,0.01,,,
ASHRAE901_OfficeSmall_STD2019,SVR,379526729.5793962,273908975.5061517,0.8642355766164026,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,1000.0,,,,,linear,,
ASHRAE901_OfficeSmall_STD2019,XGB,162758253.22618172,110613097.85562205,0.37490358556486575,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB,"1,2,3,4,5,6,7,8,12,13,14,15,18,19",7,5,True,,,,,,,,,,4.0,100.0,0.05,,,,
ASHRAE901_RestaurantSitDown_STD2019,ARIMA,1864187219.6641207,1370369816.6509693,0.3383104842310568,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,1,3,4,False,,,,,,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,HybridKNNMLP,1832743086.2921476,1344411661.8397527,0.33088753778091445,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,1,3,4,False,,,,,,"64,32,128,64",0.001,,,,,,,,,7.0
ASHRAE901_RestaurantSitDown_STD2019,HybridLRXGB,29495510912.781956,24621210307.715034,5.289189416639604,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,1,3,4,False,5.0,200.0,0.1,,,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoMLP,29488598593.947678,24843088414.319824,5.348358735734947,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,1,3,4,False,,,,,10.0,"64,32,128,64",0.001,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoXGB,29057992006.92344,24271792267.31436,5.210187684032338,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,1,3,4,False,5.0,200.0,0.1,,10.0,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,KNN,430192846.8425435,249862226.96657357,0.04807186149844234,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN,1,3,4,False,,,,,,,,,,,,,,,10.0,
ASHRAE901_RestaurantSitDown_STD2019,LR,1680155513.1452112,1361242144.1959617,0.3017995237433195,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR,1,3,4,False,,,,,,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,LSVR,6180963716.604503,5936050898.316608,0.9998677355009897,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR,1,3,4,False,,,,,,,,,1000.0,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,Lasso,1680154467.1732976,1361241275.3906324,0.301799332547308,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso,1,3,4,False,,,,0.1,,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,MLP,6181624496.256023,5936739057.172253,0.9999977679699495,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP,1,3,4,False,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,SARIMAX,1864187219.6641207,1370369816.6509693,0.3383104842310568,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,1,3,4,False,,,,,,,,,,,,,,,,
ASHRAE901_RestaurantSitDown_STD2019,SGD,590944105.1087211,274710006.4771976,0.05106326356505667,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD,1,3,4,False,,,,,,,,,,,,constant,0.01,,,
ASHRAE901_RestaurantSitDown_STD2019,SVR,1737153880.9020288,1268150249.7898886,0.29919327213991537,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR,1,3,4,False,,,,,,,,,1000.0,,,,,linear,,
ASHRAE901_RestaurantSitDown_STD2019,XGB,361360935.63150966,197799422.86167434,0.03170674044455321,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB,1,3,4,False,,,,,,,,,,2.0,100.0,0.2,,,,
LUCID_1,ARIMA,4348.821480520423,3619.076521143989,7.040230512102653e+17,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,,,,,,,
LUCID_1,HybridKNNMLP,5654.495505267829,3306.751034653342,5450861914696985.0,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,"64,32,128,64",0.01,,,,,,,,,5.0
LUCID_1,HybridLRXGB,508127.2744196432,454841.7783933682,7.2513492927727624e+19,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,5.0,100.0,0.1,,,,,,,,,,,,,
