Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 03/03  06:00:00,9469604.825749658,9469604.82574966,0.0 
 03/03  07:00:00,29557193.932750702,28095078.683808528,0.0 
 03/03  08:00:00,30583869.52507297,18292567.217877127,0.0 
 03/03  09:00:00,32795576.065948986,9510034.354062244,0.0 
 03/03  10:00:00,31262944.66619313,-1011576.5171303098,0.0 
 03/03  11:00:00,29345330.48731218,-9472775.261534043,0.0 
 03/03  12:00:00,30760999.163729977,-11678266.537717793,0.0 
 03/03  13:00:00,27439403.84504029,-14996773.790170152,0.0 
 03/03  14:00:00,31251225.299887713,-7505950.406713933,0.0 
 03/03  15:00:00,30183221.673905417,-1844486.3163904536,0.0 
 03/03  16:00:00,31543275.36865821,8677134.68047994,0.0 
 03/03  17:00:00,31661343.099096045,20333890.4727828,0.0 
 03/03  18:00:00,23184315.47065951,21179836.649618406,0.0 
 03/03  19:00:00,20610100.1302915,20610100.1302915,0.0 
 03/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 03/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 03/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 03/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 03/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 03/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 03/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 03/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 03/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 03/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 03/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
