Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/12  14:00:00,111925898.25463335,111925898.25463337,92476253.47694123 
 08/12  15:00:00,119777920.45525602,119777920.45525603,103459872.61696416 
 08/12  16:00:00,140250436.10109514,140250436.10109514,114716853.29002535 
 08/12  17:00:00,147508836.38402444,147508836.38402444,134549011.43907887 
 08/12  18:00:00,143387584.3120103,143387584.3120103,131606369.48436616 
 08/12  19:00:00,132200639.4357151,132200639.4357151,136730645.47575372 
 08/12  20:00:00,115713554.07534277,115713554.07534277,127202913.3876988 
 08/12  21:00:00,108401936.47482291,108401936.47482292,112091843.32024243 
 08/12  22:00:00,74025625.60685605,74025625.60685606,80375086.00167558 
 08/12  23:00:00,51166888.178546324,51166888.178546324,39240322.1929578 
 08/12  24:00:00,42344920.862201735,42344920.862201735,30170713.57450413 
 08/13  01:00:00,15300559.085075796,15300559.085075796,9928834.732080001 
 08/13  02:00:00,18170556.489217356,18170556.489217356,13187284.09812 
 08/13  03:00:00,16394759.463406665,16394759.463406667,9928834.732080001 
 08/13  04:00:00,27256166.23139491,27256166.23139491,19704182.8302 
 08/13  05:00:00,28041142.420680784,28041142.420680784,19704182.8302 
 08/13  06:00:00,28041921.180193055,28041921.180193055,19704182.8302 
 08/13  07:00:00,26540242.47280123,26540242.47280123,19704182.8302 
 08/13  08:00:00,25744731.89632128,25744731.89632128,19704182.8302 
 08/13  09:00:00,28588703.88175192,28588703.88175192,19704182.8302 
 08/13  10:00:00,35733943.04682037,35733943.04682037,19704182.8302 
 08/13  11:00:00,60976010.27353765,60976010.27353765,42513328.39248 
 08/13  12:00:00,74644740.1108751,74644740.11087511,45771777.75852001 
 08/13  13:00:00,94935313.45154122,94935313.45154123,79465271.07195467 
 08/13  14:00:00,109537374.13312471,109537374.13312471,97508804.03676708 
 08/13  15:00:00,120292627.75807926,120292627.75807928,98418588.19024993 
 08/13  16:00:00,141061226.24543273,141061226.24543273,123579792.36157978 
 08/13  17:00:00,148517722.56100348,148517722.5610035,125227696.74302724 
 08/13  18:00:00,148400524.4572719,148400524.4572719,141640204.5614764 
 08/13  19:00:00,144599730.55212602,144599730.55212602,136746085.81184065 
 08/13  20:00:00,134235132.75187913,134235132.75187913,117392711.04336497 
 08/13  21:00:00,119164759.10918532,119164759.10918534,120262082.69294569 
 08/13  22:00:00,74366491.48554002,74366491.48554003,72600024.52971399 
 08/13  23:00:00,51234158.0838693,51234158.08386931,39225068.722836174 
 08/13  24:00:00,42522001.30067468,42522001.30067468,38616638.443998724 
 08/14  01:00:00,15410897.927544175,15410897.927544173,9928834.732080001 
 08/14  02:00:00,20145364.839466915,20145364.839466915,13187284.09812 
 08/14  03:00:00,17544266.047719993,17544266.047719993,9928834.732080001 
 08/14  04:00:00,28200134.761564814,28200134.761564814,19704182.8302 
 08/14  05:00:00,29052892.519273326,29052892.519273322,19704182.8302 
 08/14  06:00:00,25844219.428777553,25844219.428777553,19704182.8302 
 08/14  07:00:00,28066317.853570767,28066317.853570767,19704182.8302 
 08/14  08:00:00,26920868.668465853,26920868.668465853,19704182.8302 
 08/14  09:00:00,26044359.983528655,26044359.983528655,19704182.8302 
 08/14  10:00:00,59219018.94906722,59219018.94906722,19704182.8302 
 08/14  11:00:00,94474820.13609225,94474820.13609226,42513328.39248 
 08/14  12:00:00,107777740.16524945,107777740.16524945,45771777.75852001 
 08/14  13:00:00,123888902.83433956,123888902.83433959,79480923.22809823 
 08/14  14:00:00,139126603.86535704,139126603.86535704,88661134.246748 
 08/14  15:00:00,152293907.0122395,152293907.01223946,107279870.79927449 
 08/14  16:00:00,170936762.85459897,170936762.85459894,114704534.18708847 
