cpd_algo,forecast_algo,n_forecast_driven_better,n_tie,n_raw_better,n_missing
Pelt,LSVR,2,0,1,0
Pelt,Lasso,2,0,1,0
Pelt,MLP,2,0,1,0
Pelt,SARIMAX,1,1,1,0
Pelt,SGD,2,0,1,0
Pelt,SVR,1,1,1,0
Pelt,XGB,0,2,1,0
TwoSample,ARIMA,0,3,0,0
TwoSample,HybridKNNMLP,0,3,0,0
TwoSample,HybridLRXGB,0,3,0,0
TwoSample,HybridLassoMLP,0,3,0,0
TwoSample,HybridLassoXGB,0,3,0,0
TwoSample,KNN,0,3,0,0
TwoSample,LR,0,3,0,0
TwoSample,LSVR,0,3,0,0
TwoSample,Lasso,0,3,0,0
TwoSample,MLP,0,3,0,0
TwoSample,SARIMAX,0,3,0,0
TwoSample,SGD,0,3,0,0
TwoSample,SVR,0,3,0,0
TwoSample,XGB,0,3,0,0
Window,ARIMA,1,1,1,0
Window,HybridKNNMLP,2,1,0,0
Window,HybridLRXGB,2,0,1,0
Window,HybridLassoMLP,2,0,1,0
Window,HybridLassoXGB,2,0,1,0
Window,KNN,1,2,0,0
Window,LR,2,0,1,0
Window,LSVR,2,0,1,0
Window,Lasso,3,0,0,0
Window,MLP,2,0,1,0
Window,SARIMAX,1,1,1,0
Window,SGD,1,1,1,0
Window,SVR,2,0,1,0
Window,XGB,1,1,1,0
cpm1B,ARIMA,0,3,0,0
cpm1B,HybridKNNMLP,0,3,0,0
cpm1B,HybridLRXGB,0,3,0,0
cpm1B,HybridLassoMLP,0,3,0,0
cpm1B,HybridLassoXGB,0,3,0,0
cpm1B,KNN,0,3,0,0
cpm1B,LR,0,3,0,0
cpm1B,LSVR,0,3,0,0
cpm1B,Lasso,0,3,0,0
cpm1B,MLP,0,3,0,0
cpm1B,SARIMAX,0,3,0,0
cpm1B,SGD,0,3,0,0
cpm1B,SVR,0,3,0,0
cpm1B,XGB,0,3,0,0
cpm1S,ARIMA,0,3,0,0
cpm1S,HybridKNNMLP,0,3,0,0
cpm1S,HybridLRXGB,0,3,0,0
cpm1S,HybridLassoMLP,0,3,0,0
cpm1S,HybridLassoXGB,0,3,0,0
cpm1S,KNN,0,3,0,0
cpm1S,LR,0,3,0,0
cpm1S,LSVR,0,3,0,0
cpm1S,Lasso,0,3,0,0
cpm1S,MLP,0,3,0,0
cpm1S,SARIMAX,0,3,0,0
cpm1S,SGD,0,3,0,0
cpm1S,SVR,0,3,0,0
cpm1S,XGB,0,3,0,0
cpmMS,ARIMA,0,3,0,0
cpmMS,HybridKNNMLP,0,3,0,0
cpmMS,HybridLRXGB,0,3,0,0
cpmMS,HybridLassoMLP,0,3,0,0
cpmMS,HybridLassoXGB,0,3,0,0
cpmMS,KNN,0,3,0,0
cpmMS,LR,0,3,0,0
cpmMS,LSVR,0,3,0,0
cpmMS,Lasso,0,3,0,0
cpmMS,MLP,0,3,0,0
cpmMS,SARIMAX,0,3,0,0
cpmMS,SGD,0,3,0,0
cpmMS,SVR,0,3,0,0
cpmMS,XGB,0,3,0,0
sbs,ARIMA,0,3,0,0
sbs,HybridKNNMLP,0,3,0,0
sbs,HybridLRXGB,0,3,0,0
sbs,HybridLassoMLP,0,3,0,0
sbs,HybridLassoXGB,0,3,0,0
sbs,KNN,0,3,0,0
sbs,LR,0,3,0,0
sbs,LSVR,0,3,0,0
sbs,Lasso,0,3,0,0
sbs,MLP,0,3,0,0
sbs,SARIMAX,0,3,0,0
sbs,SGD,0,3,0,0
sbs,SVR,0,3,0,0
sbs,XGB,0,3,0,0
wbs,ARIMA,0,3,0,0
wbs,HybridKNNMLP,0,3,0,0
wbs,HybridLRXGB,0,3,0,0
wbs,HybridLassoMLP,0,3,0,0
wbs,HybridLassoXGB,0,3,0,0
wbs,KNN,0,3,0,0
wbs,LR,0,3,0,0
wbs,LSVR,0,3,0,0
wbs,Lasso,0,3,0,0
wbs,MLP,0,3,0,0
wbs,SARIMAX,0,3,0,0
wbs,SGD,0,3,0,0
wbs,SVR,0,3,0,0
wbs,XGB,0,3,0,0
