cpd_algo,forecast_algo,n_forecast_driven_better,n_tie,n_raw_better,n_missing
KernelCPD,HybridLRXGB,0,0,3,0
KernelCPD,HybridLassoMLP,0,1,2,0
KernelCPD,HybridLassoXGB,0,1,2,0
KernelCPD,KNN,0,0,3,0
KernelCPD,LR,0,0,3,0
KernelCPD,LSVR,0,3,0,0
KernelCPD,Lasso,0,0,3,0
KernelCPD,MLP,0,2,1,0
KernelCPD,SARIMAX,0,2,1,0
KernelCPD,SGD,0,0,3,0
KernelCPD,SVR,1,1,1,0
KernelCPD,XGB,0,0,3,0
Pelt,ARIMA,1,2,0,0
Pelt,HybridKNNMLP,1,2,0,0
Pelt,HybridLRXGB,0,0,3,0
Pelt,HybridLassoMLP,0,1,2,0
Pelt,HybridLassoXGB,0,1,2,0
Pelt,KNN,0,0,3,0
Pelt,LR,0,0,3,0
Pelt,LSVR,0,3,0,0
Pelt,Lasso,0,0,3,0
Pelt,MLP,0,2,1,0
Pelt,SARIMAX,1,2,0,0
Pelt,SGD,0,0,3,0
Pelt,SVR,1,1,1,0
Pelt,XGB,0,0,3,0
TwoSample,ARIMA,0,3,0,0
TwoSample,HybridKNNMLP,0,3,0,0
TwoSample,HybridLRXGB,0,3,0,0
TwoSample,HybridLassoMLP,0,3,0,0
TwoSample,HybridLassoXGB,0,3,0,0
TwoSample,KNN,0,3,0,0
TwoSample,LR,0,3,0,0
TwoSample,LSVR,0,3,0,0
TwoSample,Lasso,0,3,0,0
TwoSample,MLP,0,3,0,0
TwoSample,SARIMAX,0,3,0,0
TwoSample,SGD,0,3,0,0
TwoSample,SVR,0,3,0,0
TwoSample,XGB,0,3,0,0
Window,ARIMA,0,2,1,0
Window,HybridKNNMLP,0,3,0,0
Window,HybridLRXGB,0,0,3,0
Window,HybridLassoMLP,0,1,2,0
Window,HybridLassoXGB,0,0,3,0
Window,KNN,1,0,2,0
Window,LR,0,0,3,0
Window,LSVR,0,3,0,0
Window,Lasso,0,0,3,0
Window,MLP,0,2,1,0
Window,SARIMAX,0,2,1,0
Window,SGD,0,0,3,0
Window,SVR,0,2,1,0
Window,XGB,0,1,2,0
cpm1B,ARIMA,0,3,0,0
cpm1B,HybridKNNMLP,0,3,0,0
cpm1B,HybridLRXGB,0,3,0,0
cpm1B,HybridLassoMLP,0,3,0,0
cpm1B,HybridLassoXGB,0,3,0,0
cpm1B,KNN,0,3,0,0
cpm1B,LR,0,3,0,0
cpm1B,LSVR,0,3,0,0
cpm1B,Lasso,0,3,0,0
cpm1B,MLP,0,3,0,0
cpm1B,SARIMAX,0,3,0,0
cpm1B,SGD,0,3,0,0
cpm1B,SVR,0,3,0,0
cpm1B,XGB,0,3,0,0
cpm1S,ARIMA,0,3,0,0
cpm1S,HybridKNNMLP,0,3,0,0
cpm1S,HybridLRXGB,0,3,0,0
cpm1S,HybridLassoMLP,0,3,0,0
cpm1S,HybridLassoXGB,0,3,0,0
cpm1S,KNN,0,3,0,0
cpm1S,LR,0,3,0,0
cpm1S,LSVR,0,3,0,0
cpm1S,Lasso,0,3,0,0
