,trend,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_12,lag_13,lag_14,lag_15,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1548661666.8882036,1442777435.3421657,1153613852.5340905,809534439.9590006,1334964496.0665329,1314923378.1201627,1208928567.1656096,410191495.5260624,812988220.7043414,1978078403.3191895,0,0
2004-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,519660949.88290125,1548661666.8882036,1442777435.3421657,1153613852.5340905,1332899163.9385402,1295038596.5425754,1212101151.1010501,412835046.9366351,812988220.7043414,1978078403.3191895,0,0
2004-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230271484.69892,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,2035484509.5487893,519660949.88290125,1548661666.8882036,1442777435.3421657,1287120543.088984,1279859600.0680578,1227098301.2625282,402287750.9531109,812988220.7043414,1978078403.3191895,0,0
2004-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585388589.004526,1230271484.69892,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1331113556.9023976,2035484509.5487893,519660949.88290125,1548661666.8882036,1231021998.1868894,1282482951.647795,1241692986.4971757,305648039.09641963,812988220.7043414,1585388589.004526,0,0
2004-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655921225.4002826,1585388589.004526,1230271484.69892,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1032863850.1179976,1331113556.9023976,2035484509.5487893,519660949.88290125,1249145003.795583,1363644399.8990366,1247012020.1446886,329124553.7541919,812988220.7043414,1655921225.4002826,0,0
2004-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,889684235.343816,1032863850.1179976,1331113556.9023976,2035484509.5487893,1288050062.2505307,1339755387.3188343,1254555933.4766095,367720260.7189604,812988220.7043414,1701038333.4259558,1,0
2004-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,875226910.4478683,812988220.7043414,1155515672.07182,1550721830.645814,889684235.343816,1032863850.1179976,1331113556.9023976,1289702393.636146,1328038846.9523149,1244503732.6094136,367050845.47006404,812988220.7043414,1701038333.4259558,1,0
2004-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,875226910.4478683,812988220.7043414,1978078403.3191895,1550721830.645814,889684235.343816,1032863850.1179976,1280837735.0675204,1307901115.5670266,1232823757.6252067,380968307.3993717,750935610.7239636,1701038333.4259558,0,0
2004-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,875226910.4478683,1529060186.139428,1978078403.3191895,1550721830.645814,889684235.343816,1214474221.4057915,1273686692.672166,1218428174.2774687,488644828.44267285,410682314.8157652,1701038333.4259558,0,0
2004-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742834956.7797323,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,1428702924.241322,1529060186.139428,1978078403.3191895,1550721830.645814,1144840431.7030504,1215980487.3960173,1212704974.9931657,519758693.99711406,410682314.8157652,1701038333.4259558,0,0
2004-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074314077.5643706,742834956.7797323,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1155515672.07182,1428702924.241322,1529060186.139428,1978078403.3191895,1071829787.2115997,1151425892.6992445,1207726722.3391533,482091279.0776736,410682314.8157652,1701038333.4259558,0,0
2004-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509292829.2604046,1074314077.5643706,742834956.7797323,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,812988220.7043414,1155515672.07182,1428702924.241322,1529060186.139428,1050882873.4773314,1150013938.6364572,1202087705.4937165,454901399.7202799,410682314.8157652,1701038333.4259558,0,0
2004-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460768443.168835,1509292829.2604046,1074314077.5643706,742834956.7797323,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,875226910.4478683,812988220.7043414,1155515672.07182,1428702924.241322,1016558603.4405998,1152304332.8455653,1194205424.1725974,403870579.59001726,410682314.8157652,1509292829.2604046,1,0
