,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_2,lag_3,lag_4,lag_5,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-11,741.0,549081.0,406869021.0,301489944561.0,223404048919701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853033954.5654507,868737098.1792393,880503296.141177,886001201.7686785,877324055.2873772,870633211.4381306,878227690.8354992,21224553.33210955,851187058.2493521,909810169.7337964,1,0
2004-01-12,742.0,550564.0,408518488.0,303120718096.0,224915572827232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851187058.2493521,853033954.5654507,868737098.1792393,880503296.141177,871744720.0193001,869306986.0008667,877734415.9650493,21849111.500889536,851187058.2493521,909810169.7337964,0,0
2004-01-13,743.0,552049.0,410172407.0,304758098401.0,226435267111943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852940261.4974062,851187058.2493521,853033954.5654507,868737098.1792393,864955815.3646889,869593438.0123389,877616330.2638584,14036450.32888779,851187058.2493521,886001201.7686785,0,0
2004-01-14,744.0,553536.0,411830784.0,306402103296.0,227963164852224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862287837.1515176,852940261.4974062,851187058.2493521,853033954.5654507,862210427.9397165,870360272.9143804,878037682.4830494,10722279.508461546,851187058.2493521,880503296.141177,0,0
2004-01-15,745.0,555025.0,413493625.0,308052750625.0,229499299215625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866783489.7938726,862287837.1515176,852940261.4974062,851187058.2493521,861111138.8288157,870449303.2305605,878630161.1322892,8746712.627456032,851187058.2493521,872808272.3648714,0,0
2004-01-16,746.0,556516.0,415160936.0,309710058256.0,231043703458976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872808272.3648714,866783489.7938726,862287837.1515176,852940261.4974062,861094837.698227,871156648.7311058,879074153.5332694,8730222.282608846,851187058.2493521,872808272.3648714,0,0
2004-01-17,747.0,558009.0,416832723.0,311374044081.0,232596410928507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868622990.2651188,872808272.3648714,866783489.7938726,862287837.1515176,863318561.587663,871357815.4906944,879641763.3359975,8306985.037315818,851187058.2493521,872808272.3648714,1,0
2004-01-18,748.0,559504.0,418508992.0,313044726016.0,234157455059968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868600021.7915026,868622990.2651188,872808272.3648714,866783489.7938726,865068534.277257,871196294.782317,879872330.2726597,6395829.298614942,852940261.4974062,872808272.3648714,1,0
2004-01-19,749.0,561001.0,420189749.0,314722122001.0,235726869378749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863436867.0765098,868600021.7915026,868622990.2651188,872808272.3648714,866221574.6274481,868983147.323374,878144241.2437756,4193197.8660115073,861011543.948744,872808272.3648714,0,0
2004-01-20,750.0,562500.0,421875000.0,316406250000.0,237304687500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861011543.948744,863436867.0765098,868600021.7915026,868622990.2651188,864607497.4182384,864781656.3914636,875393851.147664,7115812.604382042,850989296.6870497,872808272.3648714,0,0
2004-01-21,751.0,564001.0,423564751.0,318097128001.0,238890943128751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850989296.6870497,861011543.948744,863436867.0765098,868600021.7915026,862930628.6060079,862570528.2728622,872891686.3652623,7861553.283578419,850989296.6870497,872808272.3648714,0,0
2004-01-22,752.0,565504.0,425259008.0,319794774016.0,240485670060032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855045408.108259,850989296.6870497,861011543.948744,863436867.0765098,858947383.0340612,860029260.9314386,870325918.8190511,9003474.250909483,844925553.3612447,868622990.2651188,0,0
2004-01-23,753.0,567009.0,426957777.0,321499206081.0,242088902178993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844925553.3612447,855045408.108259,850989296.6870497,861011543.948744,855202462.1738186,858148649.9360229,867849206.5358497,9730708.085124362,842408544.2434207,868600021.7915026,0,0
2004-01-24,754.0,568516.0,428661064.0,323210442256.0,243700673461024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842408544.2434207,844925553.3612447,855045408.108259,850989296.6870497,852151930.9228094,857735246.255236,865837350.9584625,8028965.865077285,842408544.2434207,863436867.0765098,1,0
