forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,39,6,1,32,0
HybridKNNMLP,39,2,3,34,0
HybridLRXGB,39,2,6,31,0
HybridLassoMLP,39,2,6,31,0
HybridLassoXGB,39,1,6,32,0
KNN,39,0,1,38,0
LR,39,4,7,28,0
LSVR,39,5,5,29,0
Lasso,39,0,7,32,0
MLP,39,3,6,30,0
SARIMAX,39,6,1,32,0
SGD,39,1,5,33,0
SVR,39,4,4,31,0
XGB,39,2,4,33,0
