forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,39,4,1,34,0
HybridKNNMLP,39,2,3,34,0
HybridLRXGB,39,2,5,32,0
HybridLassoMLP,39,2,5,32,0
HybridLassoXGB,39,1,5,33,0
KNN,39,0,1,38,0
LR,39,6,6,27,0
LSVR,39,7,2,30,0
Lasso,39,0,8,31,0
MLP,39,7,4,28,0
SARIMAX,39,4,1,34,0
SGD,39,1,5,33,0
SVR,39,4,1,34,0
XGB,39,0,5,34,0
