forecast_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
ARIMA,39,3,2,34,0
HybridKNNMLP,39,4,0,35,0
HybridLRXGB,39,0,13,26,0
HybridLassoMLP,39,0,10,29,0
HybridLassoXGB,39,0,9,30,0
KNN,39,4,10,25,0
LR,39,1,12,26,0
LSVR,39,0,0,39,0
Lasso,39,1,11,27,0
MLP,39,1,4,34,0
SARIMAX,39,3,2,34,0
SGD,39,5,9,25,0
SVR,39,3,5,31,0
XGB,39,4,9,26,0
