,trend,trend_squared,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)","sin(9,freq=YE-DEC)","cos(9,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_11,lag_13,lag_14,lag_17,lag_18,lag_20,lag_22,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-10-28,1032.0,1065024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.898291751554753,0.4393995096591413,-0.7894179103280193,-0.6138561418226124,0.20455206612620172,-0.9788556850953577,0.9691780654392539,-0.24636127429331356,0.6471606673266036,0.7623536388483925,-0.4004539056512682,0.916316904487004,-0.9990791668951153,0.04290475819955401,-0.47753588643748607,-0.8786122450571494,0.5794210982045674,-0.8150283375168087,2132.83660288,1482.612102825,72.35910272500001,942.5621028,119.571102675,3046.50960289,2021.781102875,1015.74760279,2226.78560289,5.30860272,2615.85760289,4093.09960119,144.250102675,113.13310267500002,718.73360278,3791.57460222,1402.6045313814286,1413.2614241135714,1778.509352484167,1099.4551920751676,72.35910272500001,3046.50960289,3,15.7,15.2,9.5,14.0,30.2,212,5.17,0.91,0.0,0.0,35812.23,16049.31,2.1,2.45,0.0,0.0,0.0,0.0,0.0,11.0,0,0
2024-10-29,1033.0,1067089.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8906165093267405,0.4547551355561054,-0.8100248628547747,-0.5863955333706964,0.15389057670406395,-0.9880878960910768,0.9499899229945016,-0.31228055688579304,0.7101350157125349,0.7040655221348066,-0.30411483232752207,0.9526353808033812,-0.986730579311982,0.1623661413307599,-0.5933267643772292,-0.804961707582198,0.4470937929851166,-0.8944870822287943,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,942.5621028,119.571102675,3046.50960289,2021.781102875,1015.74760279,5.34460272,5.28460272,2615.85760289,4338.40160178,144.250102675,79.96610272500001,225.56860274,1420.607031382143,1274.3113528057143,1721.4777525338332,1112.2407011488426,72.35910272500001,3046.50960289,51,15.3,14.4,8.4,14.0,32.4,206,6.13,1.02,0.0,0.0,35598.79,21600.0,2.45,2.45,0.0,0.2,0.0,0.2,1.0,10.3,0,0
2024-10-30,1034.0,1069156.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8826787983255472,0.46997674302732034,-0.8296770135526192,-0.5582437220268642,0.10282099713735851,-0.9946998756145893,0.9263239682514944,-0.37672789363518633,0.7678804460366006,0.6405931786981746,-0.2045520661261971,0.9788556850953586,-0.9601498736716019,0.27948563485160915,-0.6979441547663455,-0.7161521883143914,0.30411483232751246,-0.9526353808033843,2315.918102885,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,942.5621028,119.571102675,3046.50960289,2021.781102875,2226.78560289,5.30860272,5.28460272,4307.68760119,4338.40160178,113.13310267500002,718.73360278,1316.2368170957143,1252.887102805357,1623.9147859089999,957.7966916366595,72.35910272500001,2315.918102885,51,13.9,13.3,9.1,7.9,15.8,55,4.17,0.65,0.0,0.0,35386.68,13240.72,1.9,2.4,0.0,0.1,0.0,0.1,1.0,9.8,0,0
2024-10-31,1035.0,1071225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8744809578310396,0.4850598461951964,-0.8483511978123042,-0.5294338912181848,0.05147875477034589,-0.9986740898848305,0.8982917515547525,-0.4393995096591423,0.8199717629247767,0.5724039727378154,-0.10282099713735912,0.9946998756145892,-0.9197204370389453,0.3925739646141748,-0.7894179103280208,-0.6138561418226105,0.15389057670406164,-0.9880878960910772,91.685102725,2315.918102885,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,942.5621028,119.571102675,3046.50960289,1015.74760279,5.34460272,5.30860272,4093.09960119,4307.68760119,144.250102675,79.96610272500001,1312.253102817143,1259.0585670914286,1551.8026025858335,963.6436058265894,72.35910272500001,2315.918102885,45,15.2,14.5,5.1,10.8,22.3,180,8.25,1.07,0.0,0.0,35176.13,27488.52,2.4,2.4,0.0,0.0,0.0,0.0,0.0,7.2,0,0
2024-11-01,1036.0,1073296.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983,6.123233995736766e-16,-1.0,0.8660254037844385,-0.5000000000000003,0.8660254037844394,0.49999999999999883,-1.2246467991473533e-15,1.0,-0.8660254037844388,0.4999999999999998,-0.866025403784439,-0.4999999999999994,-1.7157434800794711e-15,-1.0,123.875102675,91.685102725,2315.918102885,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,942.5621028,119.571102675,2021.781102875,2226.78560289,5.34460272,2615.85760289,4093.09960119,4338.40160178,113.13310267500002,1195.297817085,1267.5276028025,1468.1122025788334,1060.7760569512445,72.35910272500001,2315.918102885,45,10.7,9.2,4.1,13.0,24.8,210,3.46,0.55,0.0,0.0,34967.35,6736.26,2.35,2.35,0.0,0.0,0.0,0.0,0.0,6.8,0,0
2024-11-02,1037.0,1075369.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8573146280763323,0.5147928015098308,-0.8826787983255474,-0.4699767430273201,-0.05147875477034644,-0.9986740898848305,0.8296770135526189,-0.5582437220268647,0.9057022630804714,0.4239143907098608,0.10282099713736022,0.9946998756145891,-0.7998392447397173,0.6002142805483709,-0.9263239682514949,-0.37672789363518533,-0.153890576704058,-0.9880878960910777,105.670102675,123.875102675,91.685102725,2315.918102885,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,942.5621028,3046.50960289,1015.74760279,2226.78560289,5.28460272,2615.85760289,4307.68760119,144.250102675,1200.0565313635711,1274.693709942143,1468.2564692438334,1054.9576405616922,91.685102725,2315.918102885,3,11.9,10.9,7.6,9.7,21.2,44,4.29,0.59,0.0,0.0,34760.56,17192.42,1.55,2.25,0.0,0.0,0.0,0.0,0.0,8.4,1,0
2024-11-03,1038.0,1077444.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.848351197812304,0.5294338912181851,-0.8982917515547528,-0.4393995096591418,-0.10282099713736083,-0.9946998756145891,0.7894179103280201,-0.6138561418226114,0.9387101892619436,0.3447073839879354,0.20455206612620166,0.9788556850953577,-0.7221165966101163,0.6917713646142218,-0.9691780654392533,-0.24636127429331592,-0.30411483232751574,-0.9526353808033833,3375.96860199,105.670102675,123.875102675,91.685102725,2315.918102885,2147.79860288,2132.83660288,1482.612102825,72.35910272500001,119.571102675,2021.781102875,1015.74760279,5.30860272,5.28460272,4093.09960119,4338.40160178,1470.5360312442858,1356.778209877857,1576.4815525543333,1342.8983151763452,91.685102725,3375.96860199,3,12.5,11.2,1.9,9.0,16.2,192,8.15,0.93,0.0,0.0,34556.0,30050.37,2.25,2.25,0.0,0.0,0.0,0.0,0.0,4.6,1,0
2024-11-04,1039.0,1079521.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8391377545563939,0.5439189543287245,-0.9128458599921353,-0.4083043422438939,-0.15389057670406098,-0.9880878960910773,0.7454378568683009,-0.6665751282095623,0.9648061359537647,0.2629622026565143,0.30411483232751635,0.9526353808033831,-0.6339784927628895,0.7733506777097275,-0.9937806700284981,-0.111355196904811,-0.4470937929851133,-0.8944870822287959,5152.17460122,3375.96860199,105.670102675,123.875102675,91.685102725,2315.918102885,2147.79860288,2132.83660288,1482.612102825,942.5621028,3046.50960289,2021.781102875,5.34460272,5.30860272,2615.85760289,4307.68760119,1901.870031007143,1652.2372811942857,1743.6639358391667,1942.238085590292,91.685102725,5152.17460122,3,14.2,12.7,-0.3,11.9,22.3,178,8.06,1.01,0.0,0.0,34353.89,29630.01,2.25,2.25,0.0,0.0,0.0,0.0,0.0,2.5,0,0
2024-11-05,1040.0,1081600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8296770135526186,0.5582437220268651,-0.9263239682514953,-0.37672789363518416,-0.20455206612620228,-0.9788556850953576,0.6979441547663422,-0.7161521883143946,0.9837979515735168,0.17928075881073324,0.4004539056512692,0.9163169044870035,-0.5366961939915946,0.8437755598231894,-0.999668467514313,0.02574791365499249,-0.5794210982045644,-0.8150283375168108,6677.980601315,5152.17460122,3375.96860199,105.670102675,123.875102675,91.685102725,2315.918102885,2147.79860288,2132.83660288,72.35910272500001,119.571102675,3046.50960289,2226.78560289,5.34460272,5.28460272,4093.09960119,2549.0388879264283,1984.8229596542856,1783.201535824667,2659.97153175506,91.685102725,6677.980601315,3,12.8,10.9,-2.0,15.5,25.6,180,7.83,0.94,0.0,0.0,34154.49,29129.43,2.15,2.15,0.0,0.0,0.0,0.0,0.0,2.0,0,0
2024-11-06,1041.0,1083681.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8199717629247769,0.5724039727378152,-0.9387101892619445,-0.34470738398793316,-0.2546711202412307,-0.9670277247913198,0.6471606673266049,-0.7623536388483912,0.9955457941960383,0.09427922177542351,0.4925480679538679,0.8702852410301533,-0.4316728524737806,0.9020302369860722,-0.9867305793119809,0.16236614133076668,-0.6979441547663453,-0.7161521883143916,6583.7756013,6677.980601315,5152.17460122,3375.96860199,105.670102675,123.875102675,91.685102725,2315.918102885,2147.79860288,1482.612102825,942.5621028,119.571102675,1015.74760279,2226.78560289,5.30860272,2615.85760289,3158.732816271429,2237.4848166835714,1876.2749024606667,3057.1053722021934,91.685102725,6677.980601315,51,8.9,7.7,2.9,10.8,17.3,25,1.54,0.29,0.0,0.0,33958.05,8.57,1.15,2.05,0.0,0.3,0.0,0.3,3.0,5.3,0,0
2024-11-07,1042.0,1085764.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.810024862854775,0.5863955333706958,-0.9499899229945011,-0.3122805568857942,-0.3041148323275169,-0.9526353808033828,0.5933267643772311,-0.8049617075821965,0.9999631612477099,0.008583481082084038,0.579421098204562,0.8150283375168126,-0.32042327339191123,0.9472744722987169,-0.9552106508146311,0.2959267013472913,-0.7998392447397218,-0.600214280548365,131.458102675,6583.7756013,6677.980601315,5152.17460122,3375.96860199,105.670102675,123.875102675,91.685102725,2315.918102885,2132.83660288,72.35910272500001,942.5621028,2021.781102875,1015.74760279,5.34460272,5.28460272,3164.414673407143,2238.333888112143,1873.1378857918332,3050.484772141183,105.670102675,6677.980601315,51,10.1,8.3,0.0,10.8,20.9,26,7.02,0.78,0.0,0.0,33764.81,22657.75,2.05,2.05,0.0,0.1,0.0,0.1,1.0,3.2,0,0
2024-11-08,1043.0,1087849.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7998392447397198,0.6002142805483676,-0.9601498736716013,-0.27948563485161093,-0.3527520865490943,-0.9357168190404939,0.5366961939916031,-0.843775559823184,0.9970175264485271,-0.07717546212664078,0.660152120671231,0.7511319308705205,-0.2045520661262043,0.9788556850953571,-0.9057022630804741,0.42391439070985515,-0.8826787983255433,-0.46997674302732767,1659.33810278,131.458102675,6583.7756013,6677.980601315,5152.17460122,3375.96860199,105.670102675,123.875102675,91.685102725,2147.79860288,1482.612102825,72.35910272500001,3046.50960289,2021.781102875,2226.78560289,5.30860272,3383.766530565,2289.532173825,1904.4913691251668,2843.598424883045,105.670102675,6677.980601315,3,7.6,5.6,-2.4,9.4,15.5,178,7.57,0.79,0.0,0.0,33574.75,28466.91,1.7,1.95,0.0,0.0,0.0,0.0,0.0,1.0,0,0
2024-11-09,1044.0,1089936.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7894179103280202,0.6138561418226112,-0.9691780654392531,-0.24636127429331647,-0.40045390565126326,-0.9163169044870062,0.47753588643749134,-0.8786122450571465,0.9867305793119819,-0.16236614133076027,0.7338853664321943,0.6792733388972984,-0.0857305001557014,0.9963183634476749,-0.8391377545563977,0.5439189543287187,-0.9444892287836589,-0.3285423819108414,5909.49110303,1659.33810278,131.458102675,6583.7756013,6677.980601315,5152.17460122,3375.96860199,105.670102675,123.875102675,2315.918102885,2132.83660288,1482.612102825,119.571102675,3046.50960289,1015.74760279,5.34460272,4212.883816330001,2706.4701738467857,2098.808869135333,2560.5218258040054,131.458102675,6677.980601315,3,10.0,8.8,1.3,7.9,19.1,158,3.84,0.53,0.0,0.0,33386.0,10725.07,1.4,1.95,0.0,0.0,0.0,0.0,0.0,3.8,1,0
2024-11-10,1045.0,1092025.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7787639308347607,0.6273170968742937,-0.9770638564833507,-0.21294651993841596,-0.44709379298511437,-0.8944870822287954,0.4161246959914749,-0.9093075592922356,0.969178065439254,-0.2463612742933133,0.79983924473972,0.6002142805483673,0.03432760051324001,0.9994106342455055,-0.7567706633464631,0.6536804747720052,-0.9837979515735167,-0.17928075881073408,4794.47460124,5909.49110303,1659.33810278,131.458102675,6583.7756013,6677.980601315,5152.17460122,3375.96860199,105.670102675,91.685102725,2147.79860288,2132.83660288,942.5621028,119.571102675,2021.781102875,2226.78560289,4415.5275305085715,2943.031780876429,2254.8535857541665,2539.2912910015502,131.458102675,6677.980601315,51,10.6,9.9,5.6,9.7,17.3,180,1.16,0.28,0.0,0.0,33198.35,0.0,0.8,1.85,0.0,0.2,0.0,0.2,1.0,7.6,1,0
2024-11-11,1046.0,1094116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7678804460366002,0.640593178698175,-0.9837979515735162,-0.17928075881073613,-0.49254806795386535,-0.8702852410301547,0.3527520865490957,-0.9357168190404933,0.9444892287836623,-0.3285423819108319,0.8573146280763334,0.5147928015098289,0.1538905767040619,0.9880878960910772,-0.6601521206712332,0.7511319308705187,-0.999668467514313,-0.02574791365499249,3733.70460119,4794.47460124,5909.49110303,1659.33810278,131.458102675,6583.7756013,6677.980601315,5152.17460122,3375.96860199,123.875102675,2315.918102885,2147.79860288,72.35910272500001,942.5621028,3046.50960289,1015.74760279,4212.888959075714,3057.379495041428,2374.502069038,2527.277798642521,131.458102675,6677.980601315,55,10.6,8.0,3.9,18.0,35.6,298,1.83,0.36,0.0,0.0,33012.01,3600.0,1.65,1.85,0.0,3.4,0.0,3.4,9.0,6.5,0,0
