,trend,trend_squared,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)","sin(9,freq=YE-DEC)","cos(9,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_11,lag_13,lag_14,lag_17,lag_18,lag_20,lag_22,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-01-01,731.0,534361.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.29660272,6.77260272,5.41660272,5.36860272,5.38060272,8.27260272,6.79660272,6.79660272,6.79660272,5.52460272,5.29660272,8.26060272,5.33260272,5.45260272,8.28460272,8.26060272,6.614888434285713,6.42460272,6.58180272,1.3004263037283343,5.36860272,8.29660272,51,7.7,2.0,-1.0,32.8,61.6,219,2.87,1.0,0.0,0.0,29057.6,11914.18,1.0,1.2,0.6,1.2,0.0,0.6,5.0,5.5,0,0
2024-01-02,732.0,535824.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01716632975470737,0.9998526477050269,0.034327600513243496,0.9994106342455052,0.05147875477034653,0.9986740898848305,0.06861473800213404,0.9976432316860063,0.08573050015569435,0.9963183634476755,0.1028209971373604,0.9946998756145891,0.11988119229922722,0.99278824516254,0.13690605792347524,0.990584035457797,0.15389057670406178,0.9880878960910772,8.29660272,8.29660272,6.77260272,5.41660272,5.36860272,5.38060272,8.27260272,6.79660272,6.79660272,5.60860272,5.35660272,5.29660272,6.76060272,5.33260272,5.39260272,8.26060272,6.829174148571428,6.427174148571429,6.6330027199999995,1.4503083415999007,5.36860272,8.29660272,63,10.5,5.2,0.1,41.9,80.6,211,0.41,0.57,0.0,0.0,29124.9,0.0,0.25,1.2,29.4,0.2,0.0,29.4,24.0,6.6,0,0
2024-01-03,733.0,537289.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.034327600513243496,0.9994106342455052,0.06861473800213404,0.9976432316860063,0.1028209971373604,0.9946998756145891,0.13690605792347524,0.990584035457797,0.17082974322534417,0.985300562686109,0.2045520661262008,0.9788556850953578,0.2380332770614856,0.9712569994658314,0.27123391067291003,0.9625134626077081,0.30411483232751785,0.9526353808033825,5.29660272,8.29660272,8.29660272,6.77260272,5.41660272,5.36860272,5.38060272,8.27260272,6.79660272,6.79660272,5.52460272,5.35660272,8.26060272,6.76060272,5.45260272,8.28460272,6.404031291428572,6.427174148571429,6.53460272,1.3916674479609885,5.29660272,8.29660272,61,9.9,4.7,1.6,38.4,66.6,233,2.05,0.6,0.0,0.0,29197.79,10642.9,0.65,1.25,10.3,2.3,0.0,10.3,20.0,7.1,0,0
2024-01-04,734.0,538756.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05147875477034654,0.9986740898848305,0.10282099713736041,0.9946998756145891,0.1538905767040618,0.9880878960910772,0.20455206612620083,0.9788556850953578,0.25467112024122873,0.9670277247913204,0.3041148323275179,0.9526353808033825,0.3527520865490948,0.9357168190404936,0.4004539056512665,0.9163169044870048,0.4470937929851139,0.8944870822287956,5.39260272,5.29660272,8.29660272,8.29660272,6.77260272,5.41660272,5.36860272,5.38060272,8.27260272,6.79660272,5.60860272,5.52460272,8.26060272,8.26060272,5.33260272,5.39260272,6.4057455771428575,6.4297455771428575,6.437802719999999,1.3902032739341061,5.29660272,8.29660272,55,8.1,3.5,1.5,31.7,57.2,238,3.64,0.56,0.0,0.0,29276.11,21600.0,0.75,1.2,7.1,1.6,0.0,7.1,18.0,6.4,0,0
2024-01-05,735.0,540225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06861473800213404,0.9976432316860063,0.13690605792347524,0.990584035457797,0.2045520661262008,0.9788556850953578,0.27123391067291003,0.9625134626077081,0.33663728424691025,0.9416343976591259,0.40045390565126643,0.9163169044870048,0.4623829729035149,0.88668031802274,0.5221325810768248,0.8528643314021597,0.5794210982045637,0.8150283375168114,5.33260272,5.39260272,5.29660272,8.29660272,8.29660272,6.77260272,5.41660272,5.36860272,5.38060272,6.79660272,6.79660272,5.60860272,5.29660272,8.26060272,6.76060272,5.45260272,6.40060272,6.416031291428572,6.38900272,1.3947386852023447,5.29660272,8.29660272,53,8.3,3.5,-0.5,36.8,68.4,217,2.25,0.82,0.0,0.0,29359.71,13533.0,0.55,1.2,1.7,0.0,0.0,1.7,8.0,5.3,0,0
2024-01-06,736.0,541696.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08573050015569435,0.9963183634476755,0.17082974322534417,0.985300562686109,0.25467112024122873,0.9670277247913204,0.33663728424691025,0.9416343976591259,0.41612469599147445,0.9093075592922358,0.4925480679538644,0.8702852410301553,0.5653446739747429,0.8248547748594244,0.6339784927628866,0.7733506777097299,0.6979441547663436,0.7161521883143933,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,8.29660272,6.77260272,5.41660272,5.36860272,8.27260272,6.79660272,6.79660272,5.35660272,5.29660272,8.26060272,5.33260272,6.398888434285714,6.401459862857143,6.39140272,1.3961563563686328,5.29660272,8.29660272,53,5.6,2.1,-2.1,16.4,34.2,319,0.95,0.19,0.0,0.0,29448.46,0.0,0.3,1.15,3.3,0.0,0.0,3.3,19.0,1.5,1,0
2024-01-07,737.0,543169.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10282099713736041,0.9946998756145891,0.20455206612620083,0.9788556850953578,0.3041148323275179,0.9526353808033825,0.4004539056512665,0.9163169044870048,0.4925480679538644,0.8702852410301553,0.5794210982045638,0.8150283375168114,0.6601521206712317,0.7511319308705199,0.7338853664321991,0.6792733388972931,0.7998392447397195,0.6002142805483681,5.29660272,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,8.29660272,6.77260272,5.41660272,5.38060272,6.79660272,6.79660272,5.52460272,5.35660272,8.26060272,6.76060272,6.188031291428572,6.294317005714285,6.38900272,1.441044859022178,5.29660272,8.29660272,71,1.5,-2.2,-9.1,24.1,46.1,27,1.0,0.32,0.0,0.0,29542.21,0.0,0.5,1.2,0.5,0.0,0.28,0.9,7.0,-3.2,1,0
2024-01-08,738.0,544644.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11988119229922722,0.99278824516254,0.2380332770614856,0.9712569994658314,0.3527520865490948,0.9357168190404936,0.4623829729035149,0.88668031802274,0.5653446739747429,0.8248547748594244,0.6601521206712317,0.7511319308705199,0.7454378568683001,0.6665751282095632,0.8199717629247771,0.5724039727378148,0.8826787983255473,0.4699767430273202,8.29660272,5.29660272,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,8.29660272,6.77260272,5.36860272,8.27260272,6.79660272,5.60860272,5.52460272,5.29660272,8.26060272,6.188031291428571,6.401459862857143,6.48540272,1.441044859022178,5.29660272,8.29660272,3,-2.2,-8.5,-10.7,23.6,45.4,41,2.16,0.68,0.0,0.0,29640.79,3793.56,1.1,1.25,0.0,0.0,0.0,0.0,0.0,-5.2,0,0
2024-01-09,739.0,546121.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13690605792347524,0.990584035457797,0.27123391067291003,0.9625134626077081,0.40045390565126643,0.9163169044870048,0.5221325810768248,0.8528643314021597,0.6339784927628866,0.7733506777097299,0.733885366432199,0.6792733388972931,0.8199717629247771,0.5724039727378148,0.8906165093267404,0.4547551355561058,0.9444892287836613,0.32854238191083485,8.27260272,8.29660272,5.29660272,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,8.29660272,5.41660272,5.38060272,8.27260272,6.79660272,5.60860272,5.35660272,8.26060272,6.18460272,6.506888434285713,6.58460272,1.4352086956258185,5.29660272,8.29660272,0,-1.2,-7.6,-11.8,20.3,40.0,41,5.16,0.98,0.0,0.0,29744.07,24797.09,1.35,1.35,0.0,0.0,0.0,0.0,0.0,-6.1,0,0
2024-01-10,740.0,547600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15389057670406178,0.9880878960910772,0.30411483232751785,0.9526353808033825,0.44709379298511387,0.8944870822287956,0.5794210982045637,0.8150283375168114,0.6979441547663435,0.7161521883143933,0.7998392447397193,0.6002142805483683,0.8826787983255473,0.4699767430273202,0.9444892287836613,0.32854238191083485,0.9837979515735163,0.17928075881073577,6.76060272,8.27260272,8.29660272,5.29660272,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,6.77260272,5.36860272,5.38060272,6.79660272,6.79660272,5.52460272,5.29660272,6.393745577142857,6.398888434285714,6.53460272,1.3902032739341061,5.29660272,8.29660272,3,-0.2,-4.5,-11.9,9.7,21.6,46,3.94,0.62,0.0,0.0,29851.89,21213.57,1.15,1.35,0.0,0.0,0.0,0.0,0.0,-6.9,0,0
2024-01-11,741.0,549081.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17082974322534417,0.985300562686109,0.33663728424691025,0.9416343976591259,0.4925480679538644,0.8702852410301553,0.6339784927628866,0.7733506777097299,0.7567706633464625,0.653680474772006,0.8573146280763323,0.5147928015098308,0.9326545075388224,0.36077079921678346,0.9805753940631429,0.19614254142819698,0.9996684675143132,0.025747913654988436,5.32060272,6.76060272,8.27260272,8.29660272,5.29660272,5.40460272,5.33260272,5.39260272,5.29660272,8.29660272,5.41660272,5.36860272,6.79660272,6.79660272,5.60860272,5.35660272,6.383459862857142,6.39460272,6.43660272,1.399082964965662,5.29660272,8.29660272,3,-0.3,-4.8,-11.0,14.9,31.3,21,5.12,0.46,0.0,0.0,29964.1,25075.26,1.35,1.35,0.0,0.0,0.0,0.0,0.0,-6.8,0,0
2024-01-12,742.0,550564.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18771856543719873,0.9822228566828407,0.36876293119226017,0.9295234803804003,0.5366961939916004,0.8437755598231856,0.6855476064742155,0.7280278011569848,0.8100248628547752,0.5863955333706957,0.9057022630804714,0.42391439070986076,0.9691780654392536,0.2463612742933148,0.998195433059714,0.060048958514948375,0.9917226741361015,-0.12839835514655085,5.32060272,5.32060272,6.76060272,8.27260272,8.29660272,5.29660272,5.40460272,5.33260272,5.39260272,8.29660272,6.77260272,5.41660272,8.27260272,6.79660272,6.79660272,5.52460272,6.3817455771428575,6.391174148571428,6.337802719999999,1.4005917116908508,5.29660272,8.29660272,3,0.6,-2.3,-5.0,8.1,18.4,6,1.68,0.21,0.0,0.0,30080.57,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,-1.5,0,0
