Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 04/11  24:00:00,12013495.064167162,12013495.06416716,782428.2583567954 
 04/12  01:00:00,11913607.652725566,11913607.652725566,2316645.020954623 
 04/12  02:00:00,11009689.861307248,11009689.861307248,3463162.710946324 
 04/12  03:00:00,10987258.029289724,10987258.029289724,3880912.2706225 
 04/12  04:00:00,12028211.80683094,12028211.80683094,4559808.435915314 
 04/12  05:00:00,13409742.40064111,13409742.40064111,4923938.250817182 
 04/12  06:00:00,14080473.673237054,14080473.673237054,4877093.620010681 
 04/12  07:00:00,12282070.078849945,12282070.078849943,4302340.282883788 
 04/12  08:00:00,12078365.80697605,12078365.80697605,2176422.9282807964 
 04/12  09:00:00,11638004.255218659,11638004.255218659,0.0 
 04/12  10:00:00,11680041.07290192,11680041.07290192,0.0 
 04/12  11:00:00,10714833.420500902,10714833.420500902,0.0 
 04/12  12:00:00,9720530.16449778,9720530.16449778,0.0 
 04/12  13:00:00,9574949.229970988,9574949.229970988,0.0 
 04/12  14:00:00,9514805.041270856,9514805.041270856,0.0 
 04/12  15:00:00,9760457.203628972,9760457.203628972,0.0 
 04/12  16:00:00,10528700.00473334,10528700.00473334,0.0 
 04/12  17:00:00,13515457.656352129,13515457.656352127,0.0 
 04/12  18:00:00,13820237.58476863,13820237.584768629,0.0 
 04/12  19:00:00,18128409.11876747,18128409.11876747,0.0 
 04/12  20:00:00,18956653.563301254,18956653.56330125,0.0 
 04/12  21:00:00,17416551.967477143,17416551.967477143,0.0 
 04/12  22:00:00,16938354.718908735,16938354.718908735,0.0 
 04/12  23:00:00,14264411.30770697,14264411.307706969,0.0 
 04/12  24:00:00,11976025.37833936,11976025.37833936,0.0 
 04/13  01:00:00,10929073.418100629,10929073.418100629,0.0 
 04/13  02:00:00,11715447.440423887,11715447.440423887,0.0 
 04/13  03:00:00,10801930.923692537,10801930.923692537,0.0 
 04/13  04:00:00,10936596.647987187,10936596.647987187,0.0 
 04/13  05:00:00,13207009.14714258,13207009.14714258,680256.1639706806 
 04/13  06:00:00,14790281.211668607,14790281.211668605,2041119.5719125888 
 04/13  07:00:00,12234555.062689435,12234555.062689435,853542.1198228354 
 04/13  08:00:00,11143336.077186588,11143336.077186588,0.0 
