cpd_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
Binseg,42,13,10,19,0
BottomUp,42,4,0,38,0
KernelCPD,42,5,18,19,0
Pelt,42,7,10,25,0
Window,42,9,24,9,0
