cpd_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
Binseg,42,8,27,7,0
BottomUp,42,9,25,8,0
KernelCPD,42,3,32,7,0
Pelt,42,7,30,5,0
Window,42,3,29,10,0
