cpd_algo,n_total,n_residual_better,n_raw_better,n_tie,n_missing
Binseg,42,17,18,7,0
BottomUp,42,11,25,6,0
KernelCPD,42,11,22,9,0
Pelt,42,17,19,6,0
Window,42,18,10,14,0
