Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 02/14  13:00:00,201981724.49312946,201981724.49312946,140433112.90355188 
 02/14  14:00:00,189084012.96292424,189084012.96292427,132386898.90870093 
 02/14  15:00:00,175975682.43696395,175975682.43696398,115950125.64018959 
 02/14  16:00:00,175992802.090991,175992802.09099105,125471251.67096788 
 02/14  17:00:00,193546144.4819667,193546144.4819667,134639962.5507029 
 02/14  18:00:00,204074642.69722572,204074642.69722572,157325160.6296502 
 02/14  19:00:00,198473936.14642543,198473936.14642543,181836518.58393782 
 02/14  20:00:00,188496094.33702007,188496094.33702007,188845873.0129645 
 02/14  21:00:00,174208539.94735897,174208539.94735897,172654910.6805538 
 02/14  22:00:00,164355020.77923375,164355020.77923375,199450711.27613533 
 02/14  23:00:00,105114840.37668546,105114840.37668547,201393735.35896826 
 02/14  24:00:00,65861645.554291435,65861645.554291435,186947530.8081453 
 02/15  01:00:00,55137377.63343899,55137377.63343899,100861947.67773032 
 02/15  02:00:00,22937131.200407755,22937131.200407755,9928834.732080001 
 02/15  03:00:00,28674350.032537416,28674350.032537416,13187284.09812 
 02/15  04:00:00,22801428.45284897,22801428.45284897,9928834.732080001 
 02/15  05:00:00,47222356.35342413,47222356.35342413,19704182.8302 
 02/15  06:00:00,102646956.70356894,102646956.70356894,205077513.26646468 
 02/15  07:00:00,116466978.56562787,116466978.56562787,212838615.2945916 
 02/15  08:00:00,122693763.48482776,122693763.48482777,213180131.10748684 
 02/15  09:00:00,142002557.4705289,142002557.4705289,162806351.74548218 
 02/15  10:00:00,167681046.21849874,167681046.21849877,164882964.0658998 
 02/15  11:00:00,196816627.26507437,196816627.26507437,163705112.9617737 
 02/15  12:00:00,217716985.22774994,217716985.22774994,160757179.34333214 
 02/15  13:00:00,203680504.15058997,203680504.15059,161321293.48992595 
 02/15  14:00:00,190751718.18842643,190751718.18842643,138858942.08845508 
 02/15  15:00:00,177978409.0114836,177978409.01148367,138757660.93171597 
 02/15  16:00:00,178063592.01810053,178063592.01810056,136737638.91044328 
 02/15  17:00:00,194081125.77732086,194081125.77732086,155316111.3175564 
 02/15  18:00:00,204310312.75120705,204310312.7512071,175034292.8346124 
 02/15  19:00:00,198774329.38772792,198774329.38772792,194237979.12290448 
 02/15  20:00:00,187266656.17295736,187266656.17295736,179698882.0873248 
 02/15  21:00:00,174720243.35422423,174720243.35422426,175189135.32786828 
 02/15  22:00:00,164408051.58688268,164408051.5868827,181468405.26901278 
 02/15  23:00:00,103284099.435865,103284099.435865,170310618.31210595 
 02/15  24:00:00,66691057.10185056,66691057.10185057,182775500.71370766 
 02/16  01:00:00,56609416.17242025,56609416.17242025,105537203.84220171 
 02/16  02:00:00,22947657.57794687,22947657.57794687,9928834.732080001 
 02/16  03:00:00,28504843.04535556,28504843.04535556,13187284.09812 
 02/16  04:00:00,22811848.434914324,22811848.434914324,9928834.732080001 
 02/16  05:00:00,47565915.78223505,47565915.78223505,19704182.8302 
 02/16  06:00:00,102714810.64336559,102714810.64336559,215041382.74305466 
 02/16  07:00:00,116015901.45719613,116015901.45719613,201130969.28173354 
 02/16  08:00:00,122080225.9520042,122080225.9520042,163864661.05184886 
 02/16  09:00:00,140287276.72611177,140287276.72611177,128247922.32447952 
 02/16  10:00:00,157406293.5155791,157406293.5155791,134282097.89909282 
 02/16  11:00:00,197447824.34116015,197447824.34116018,172776073.33763295 
 02/16  12:00:00,216959694.3313968,216959694.3313968,165458200.8737376 
 02/16  13:00:00,199986763.3653173,199986763.36531734,147415847.9788577 
 02/16  14:00:00,188548307.69239655,188548307.69239658,136754109.91615063 
 02/16  15:00:00,174342913.05019736,174342913.05019736,120742724.23851144 
 02/16  16:00:00,174439909.33792657,174439909.33792657,125896850.57340327 
 02/16  17:00:00,190843503.33224422,190843503.33224422,149476090.3014151 
 02/16  18:00:00,198810783.16010636,198810783.1601064,175695191.38571763 
