Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/30  11:00:00,164299104.8171292,164299104.8171292,145521148.65309906 
 08/30  12:00:00,160296500.40452263,160296500.40452263,129175662.82782638 
 08/30  13:00:00,154097867.34838754,154097867.34838754,120634729.60094616 
 08/30  14:00:00,143746916.1728855,143746916.17288548,113827299.7521424 
 08/30  15:00:00,141291684.34501377,141291684.34501377,104949805.45318136 
 08/30  16:00:00,151171215.43811607,151171215.43811607,123602998.2021041 
 08/30  17:00:00,157171067.3892098,157171067.3892098,125260578.42665988 
 08/30  18:00:00,157224341.5227836,157224341.5227836,141717285.3088801 
 08/30  19:00:00,154225090.94237858,154225090.9423786,136836434.05097756 
 08/30  20:00:00,145300750.92385596,145300750.92385596,117450243.787555 
 08/30  21:00:00,133076068.40969625,133076068.40969622,122198324.84077613 
 08/30  22:00:00,90508372.82924101,90508372.82924101,76273700.34117016 
 08/30  23:00:00,58310459.2637686,58310459.263768606,34292696.389394544 
 08/30  24:00:00,42031528.88203249,42031528.882032484,38633234.70810428 
 08/31  01:00:00,17961748.07318132,17961748.07318132,9928834.732080001 
 08/31  02:00:00,20622495.45610665,20622495.45610665,13187284.09812 
 08/31  03:00:00,19768320.41404812,19768320.41404812,9928834.732080001 
 08/31  04:00:00,34718397.25038994,34718397.25038994,19704182.8302 
 08/31  05:00:00,59719883.00007505,59719883.00007505,42513328.39248 
 08/31  06:00:00,67710015.97886458,67710015.97886458,45771777.75852001 
 08/31  07:00:00,76773959.4614904,76773959.46149038,68915823.54120097 
 08/31  08:00:00,102779344.43889533,102779344.43889534,78655898.22360513 
 08/31  09:00:00,131253534.30501549,131253534.30501549,120572912.20118563 
 08/31  10:00:00,150425120.35326284,150425120.35326284,135789333.32828182 
 08/31  11:00:00,171449571.89278305,171449571.89278305,146733870.47460756 
 08/31  12:00:00,167466508.5603763,167466508.56037626,140246234.88765928 
 08/31  13:00:00,161256521.85998362,161256521.85998362,132536810.51503895 
 08/31  14:00:00,151936435.8012175,151936435.8012175,124862313.59316178 
 08/31  15:00:00,153207680.7051283,153207680.70512828,115522990.63358237 
 08/31  16:00:00,162489129.64485708,162489129.64485708,124449747.58432546 
 08/31  17:00:00,164766970.71720827,164766970.71720827,125312808.59607539 
 08/31  18:00:00,163306688.03841352,163306688.03841352,141662897.01766068 
 08/31  19:00:00,158157179.1592794,158157179.1592794,135257196.30677706 
 08/31  20:00:00,144773011.850642,144773011.850642,117441370.41270629 
 08/31  21:00:00,138820981.5883827,138820981.5883827,122209212.61721542 
