Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 10/25  17:00:00,10385817.21296107,10385817.21296107,0.0 
 10/25  18:00:00,17560645.83653403,17560645.836534034,0.0 
 10/25  19:00:00,16509921.246392353,16509921.24639235,828904.1751202953 
 10/25  20:00:00,17311017.928524844,17311017.92852484,2133743.668970015 
 10/25  21:00:00,14939167.15495079,14939167.15495079,3072978.593734759 
 10/25  22:00:00,14041028.607528247,14041028.607528247,4221102.405569913 
 10/25  23:00:00,12342041.833646927,12342041.833646927,5181115.418290347 
 10/25  24:00:00,10818249.986844232,10818249.98684423,6036760.848437926 
 10/26  01:00:00,9795728.288193472,9795728.288193472,6544353.9223686755 
 10/26  02:00:00,10600127.387305701,10600127.387305701,6929599.594185149 
 10/26  03:00:00,9702911.007870408,9702911.007870408,7276891.93608254 
 10/26  04:00:00,10714171.516476786,10714171.516476786,7341538.0148791475 
 10/26  05:00:00,12055230.510288788,12055230.510288788,6951499.377204778 
 10/26  06:00:00,15528049.85150215,15528049.85150215,6721869.480898656 
 10/26  07:00:00,11550527.302506018,11550527.302506018,7111700.231274115 
 10/26  08:00:00,9795164.02789103,9795164.027891032,5902917.646128564 
 10/26  09:00:00,9572023.069726702,9572023.0697267,2913606.163606352 
 10/26  10:00:00,8555193.626658337,8555193.626658337,203599.65307396476 
 10/26  11:00:00,8532227.658505626,8532227.658505626,0.0 
 10/26  12:00:00,7545341.14208656,7545341.14208656,0.0 
 10/26  13:00:00,7401998.573819328,7401998.573819327,0.0 
 10/26  14:00:00,6439137.513625755,6439137.513625754,0.0 
 10/26  15:00:00,7587805.247112335,7587805.247112334,0.0 
 10/26  16:00:00,8353522.501248052,8353522.501248052,0.0 
 10/26  17:00:00,10386828.154060923,10386828.154060923,0.0 
 10/26  18:00:00,17560744.436651558,17560744.436651558,0.0 
 10/26  19:00:00,17413774.407270297,17413774.407270297,0.0 
 10/26  20:00:00,16274947.554770779,16274947.554770775,0.0 
 10/26  21:00:00,14794521.415992478,14794521.415992478,0.0 
 10/26  22:00:00,14758742.80389074,14758742.80389074,0.0 
 10/26  23:00:00,11256324.950795574,11256324.950795572,1098431.955133934 
 10/26  24:00:00,10632849.759923503,10632849.759923503,2078778.263644589 
 10/27  01:00:00,10493292.319957199,10493292.319957199,2789093.886371274 
 10/27  02:00:00,9561171.000464015,9561171.000464013,3347549.696314548 
 10/27  03:00:00,10427844.020297106,10427844.020297104,4157468.2535585086 
 10/27  04:00:00,9717611.209100071,9717611.209100071,4716695.056829779 
 10/27  05:00:00,11947416.286649907,11947416.286649907,4646950.249622436 
 10/27  06:00:00,15448656.56471342,15448656.56471342,5005529.427296622 
 10/27  07:00:00,11470495.275191134,11470495.275191134,5380606.560000936 
 10/27  08:00:00,10721248.890487352,10721248.890487352,5239979.409925921 
 10/27  09:00:00,8740686.311905462,8740686.311905462,5316459.8116550185 
 10/27  10:00:00,9737853.99023867,9737853.99023867,5428691.89111906 
 10/27  11:00:00,7843666.375526123,7843666.375526122,4975864.305936197 
 10/27  12:00:00,7734242.090856974,7734242.090856975,4015171.155738623 
 10/27  13:00:00,7529433.931334944,7529433.931334944,2700460.216978007 
 10/27  14:00:00,7432129.64734079,7432129.647340789,1869734.6714741383 
 10/27  15:00:00,6686797.126619494,6686797.126619494,178054.69465340712 
 10/27  16:00:00,9271536.29198362,9271536.29198362,0.0 
 10/27  17:00:00,10386626.8842015,10386626.884201499,0.0 
 10/27  18:00:00,17588494.510907084,17588494.510907084,555152.4854344697 
 10/27  19:00:00,16577006.09298428,16577006.092984278,2242084.7540995847 
 10/27  20:00:00,16450071.463163868,16450071.463163868,3699814.6069146665 
 10/27  21:00:00,15931457.794550138,15931457.794550136,4544560.398747979 
 10/27  22:00:00,14102299.725678382,14102299.72567838,5520001.124853131 
 10/27  23:00:00,12399305.86396548,12399305.86396548,6402079.032988685 
 10/27  24:00:00,10861488.002309935,10861488.002309935,6958801.9881997295 
 10/28  01:00:00,9853371.398870017,9853371.398870017,7774521.626339475 
 10/28  02:00:00,10661611.455575116,10661611.455575116,8241545.539016143 
 10/28  03:00:00,9768306.609179912,9768306.609179912,8672506.360226324 
 10/28  04:00:00,10775202.36276799,10775202.36276799,8644026.70491391 
 10/28  05:00:00,11248598.493225105,11248598.493225105,8783658.517550988 
 10/28  06:00:00,16082932.890200995,16082932.890200997,9105737.118945744 
 10/28  07:00:00,12113203.222942268,12113203.222942267,8067565.633239172 
 10/28  08:00:00,9793298.984649885,9793298.984649885,5830010.89336301 
 10/28  09:00:00,9570383.688995149,9570383.688995147,2841500.7154603903 
 10/28  10:00:00,8552167.438259207,8552167.438259207,120805.58298768727 
 10/28  11:00:00,8532751.019596718,8532751.019596718,0.0 
 10/28  12:00:00,7545984.523080099,7545984.523080099,0.0 
 10/28  13:00:00,7402497.487916864,7402497.487916865,0.0 
 10/28  14:00:00,6439371.73014857,6439371.73014857,0.0 
 10/28  15:00:00,7588190.95518182,7588190.95518182,0.0 
 10/28  16:00:00,8354108.4585082475,8354108.4585082475,0.0 
 10/28  17:00:00,11873689.259079702,11873689.2590797,0.0 
 10/28  18:00:00,17562328.764833417,17562328.764833413,0.0 
 10/28  19:00:00,17415354.608709283,17415354.60870928,0.0 
 10/28  20:00:00,16276100.027266152,16276100.02726615,0.0 
 10/28  21:00:00,14826682.574067125,14826682.574067125,670110.0335436948 
 10/28  22:00:00,14905200.49829603,14905200.498296034,3106156.0424648006 
 10/28  23:00:00,11462299.403151233,11462299.403151233,5491479.213521909 
 10/28  24:00:00,10859825.229171028,10859825.229171026,6921948.844306033 
 10/29  01:00:00,10667361.455752322,10667361.455752322,6503433.272711435 
 10/29  02:00:00,9713245.730235007,9713245.730235007,6592992.542106069 
 10/29  03:00:00,10621451.46720257,10621451.46720257,8288996.576155445 
 10/29  04:00:00,9936444.336639367,9936444.336639367,9386835.909712374 
 10/29  05:00:00,12176401.038482312,12176401.038482312,9529298.932665067 
 10/29  06:00:00,15659936.47464689,15659936.474646892,9477266.676630972 
 10/29  07:00:00,11778572.525587205,11778572.525587205,9428806.788597025 
 10/29  08:00:00,10858924.140908554,10858924.140908552,10599108.834235225 
 10/29  09:00:00,9085036.028279306,9085036.028279305,12634056.656207018 
 10/29  10:00:00,10073430.28340421,10073430.283404209,12569852.636278588 
 10/29  11:00:00,8178050.681450047,8178050.681450044,12103406.490685524 
 10/29  12:00:00,8141420.755131869,8141420.755131868,12696962.863375809 
 10/29  13:00:00,8060830.936180685,8060830.936180684,14033786.220162494 
 10/29  14:00:00,7987246.98178163,7987246.98178163,13708361.258227829 
 10/29  15:00:00,8254994.471731368,8254994.471731368,14211185.149996549 
 10/29  16:00:00,9046701.50967246,9046701.50967246,14760133.742519213 
 10/29  17:00:00,12553876.59092431,12553876.590924308,14505286.97036941 
 10/29  18:00:00,18245804.357209772,18245804.35720977,14548259.78703231 
 10/29  19:00:00,17216139.603503633,17216139.603503633,15847428.060208969 
 10/29  20:00:00,17957821.169244666,17957821.169244662,15881033.510008788 
 10/29  21:00:00,15529069.816927627,15529069.816927627,15639484.21601927 
 10/29  22:00:00,14577769.635716211,14577769.635716211,15657462.672703614 
 10/29  23:00:00,12868759.630273977,12868759.630273977,16412251.647923758 
 10/29  24:00:00,11330561.533302743,11330561.533302743,16968321.396858826 
 10/30  01:00:00,11143515.482395722,11143515.482395722,16664915.539445642 
